Date,Plant,ProductionLine,ProductionShift,ProductType,BottlesProduced,BottlesDamaged,BottlesFilled,Warehouse,UnitsDispatched,DispatchRegion,TransportMode,SalesChannel,RevenueAED,CostAED,MachineDowntimeMin,EnergyConsumptionkWh,WaterUsageLiters,TemperatureC
1/1/2024,Abu Dhabi Main,Line A,Morning,5 Gallon,1112,7,1105,Mussafah,585,Dubai,Company Truck,Retail,11700,7020.7,6,44.91,16690.2,22.4
1/1/2024,Abu Dhabi Main,Line A,Morning,330ml,4929,107,4822,Mussafah,2776,Dubai,Company Truck,Retail,3886.4,1953.9,6,89.69,7365.03,22.6
1/1/2024,Abu Dhabi Main,Line A,Morning,500ml,3949,97,3852,Dubai Hub,2249,Abu Dhabi,Company Truck,Wholesale,4048.2,2033.8,4,94.4,5909.66,23.5
1/1/2024,Abu Dhabi Main,Line A,Evening,5 Gallon,565,5,560,Abu Dhabi Port,305,Abu Dhabi,Company Truck,Subscription,6100,3660.5,5,34.17,8485.91,19.5
1/1/2024,Abu Dhabi Main,Line A,Evening,330ml,2640,75,2565,Khalifa City,1486,Dubai,Third-party Logistics,Wholesale,2080.4,1047.7,4,41.96,3913.21,21.5
1/1/2024,Abu Dhabi Main,Line A,Evening,500ml,3426,83,3343,Dubai Hub,1984,Abu Dhabi,Third-party Logistics,Retail,3571.2,1793.9,6,59.12,5113.66,22.2
1/1/2024,Abu Dhabi Main,Line A,Night,5 Gallon,1075,8,1067,Khalifa City,557,Dubai,Company Truck,Retail,11140,6684.8,5,38.14,16137.74,23
1/1/2024,Abu Dhabi Main,Line A,Night,330ml,2127,41,2086,Mussafah,1235,Dubai,Company Truck,Online,1729,868.6,9,52.58,3217.36,21.5
1/1/2024,Abu Dhabi Main,Line A,Night,500ml,2100,57,2043,Khalifa City,1209,Dubai,Company Truck,Wholesale,2176.2,1093.8,10,55.67,3150.77,21
1/1/2024,Abu Dhabi Main,Line B,Morning,5 Gallon,679,5,674,Abu Dhabi Port,370,Al Ain,Company Truck,Retail,7400,4440.5,7,53.36,10215.68,21.3
